80 456
-2.030303030303030e+00 5.000000000000000e+00 0.000000000000000e+00
-1.969696969696969e+00 5.000000000000000e+00 0.000000000000000e+00
-1.909090909090909e+00 5.000000000000000e+00 0.000000000000000e+00
-1.848484848484849e+00 5.000000000000000e+00 0.000000000000000e+00
-1.787878787878788e+00 5.000000000000000e+00 0.000000000000000e+00
-1.727272727272728e+00 5.000000000000000e+00 0.000000000000000e+00
-1.666666666666667e+00 5.000000000000000e+00 0.000000000000000e+00
-1.606060606060607e+00 5.000000000000000e+00 0.000000000000000e+00
-1.545454545454545e+00 5.000000000000000e+00 0.000000000000000e+00
-1.484848484848485e+00 5.000000000000000e+00 0.000000000000000e+00
-1.424242424242424e+00 5.000000000000000e+00 0.000000000000000e+00
-1.363636363636364e+00 5.000000000000000e+00 0.000000000000000e+00
-1.303030303030302e+00 5.000000000000000e+00 0.000000000000000e+00
-1.242424242424242e+00 5.000000000000000e+00 0.000000000000000e+00
-1.181818181818183e+00 5.000000000000000e+00 0.000000000000000e+00
-1.121212121212121e+00 5.000000000000000e+00 0.000000000000000e+00
-1.060606060606061e+00 5.000000000000000e+00 0.000000000000000e+00
-1.000000000000000e+00 5.000000000000000e+00 0.000000000000000e+00
-9.393939393939391e-01 5.000000000000000e+00 0.000000000000000e+00
-8.787878787878789e-01 5.000000000000000e+00 0.000000000000000e+00
-8.181818181818187e-01 5.000000000000000e+00 0.000000000000000e+00
-7.575757575757582e-01 5.000000000000000e+00 0.000000000000000e+00
-6.969696969696972e-01 5.000000000000000e+00 0.000000000000000e+00
-6.363636363636376e-01 5.000000000000000e+00 0.000000000000000e+00
-5.757575757575752e-01 5.000000000000000e+00 0.000000000000000e+00
-5.151515151515150e-01 5.000000000000000e+00 0.000000000000000e+00
-4.545454545454538e-01 5.000000000000000e+00 0.000000000000000e+00
-3.939393939393936e-01 5.000000000000000e+00 0.000000000000000e+00
-3.333333333333339e-01 5.000000000000000e+00 0.000000000000000e+00
-2.727272727272722e-01 5.000000000000000e+00 0.000000000000000e+00
-2.121212121212125e-01 5.000000000000000e+00 0.000000000000000e+00
-1.515151515151516e-01 5.000000000000000e+00 0.000000000000000e+00
-9.090909090909061e-02 5.000000000000000e+00 0.000000000000000e+00
-3.030303030303028e-02 5.000000000000000e+00 0.000000000000000e+00
3.030303030303005e-02 5.000000000000000e+00 0.000000000000000e+00
9.090909090909038e-02 5.000000000000000e+00 0.000000000000000e+00
1.515151515151514e-01 5.000000000000000e+00 0.000000000000000e+00
2.121212121212110e-01 5.000000000000000e+00 0.000000000000000e+00
2.727272727272727e-01 5.000000000000000e+00 0.000000000000000e+00
3.333333333333330e-01 5.000000000000000e+00 0.000000000000000e+00
3.939393939393947e-01 5.000000000000000e+00 0.000000000000000e+00
4.545454545454550e-01 5.000000000000000e+00 0.000000000000000e+00
5.151515151515154e-01 5.000000000000000e+00 0.000000000000000e+00
5.757575757575764e-01 5.000000000000000e+00 0.000000000000000e+00
6.363636363636360e-01 5.000000000000000e+00 0.000000000000000e+00
6.969696969696970e-01 5.000000000000000e+00 0.000000000000000e+00
7.575757575757573e-01 5.000000000000000e+00 0.000000000000000e+00
8.181818181818183e-01 5.000000000000000e+00 0.000000000000000e+00
8.787878787878787e-01 5.000000000000000e+00 0.000000000000000e+00
9.393939393939397e-01 5.000000000000000e+00 0.000000000000000e+00
1.000000000000000e+00 5.000000000000000e+00 0.000000000000000e+00
1.056565656565657e+00 5.000000000000000e+00 0.000000000000000e+00
1.113131313131313e+00 5.000000000000000e+00 0.000000000000000e+00
1.169696969696970e+00 5.000000000000000e+00 0.000000000000000e+00
1.226262626262626e+00 5.000000000000000e+00 0.000000000000000e+00
1.282828282828283e+00 5.000000000000000e+00 0.000000000000000e+00
1.339393939393939e+00 4.999999999999999e+00 0.000000000000000e+00
1.395959595959596e+00 5.000000000000000e+00 0.000000000000000e+00
1.452525252525253e+00 4.999999999999999e+00 0.000000000000000e+00
1.509090909090909e+00 5.000000000000000e+00 0.000000000000000e+00
1.565656565656566e+00 5.000000000000000e+00 0.000000000000000e+00
1.622222222222222e+00 5.000000000000000e+00 0.000000000000000e+00
1.678787878787879e+00 5.000000000000000e+00 0.000000000000000e+00
1.735353535353536e+00 5.000000000000000e+00 0.000000000000000e+00
1.791919191919192e+00 5.000000000000000e+00 0.000000000000000e+00
1.848484848484849e+00 5.000000000000000e+00 0.000000000000000e+00
1.905050505050505e+00 5.000000000000000e+00 0.000000000000000e+00
1.961616161616162e+00 5.000000000000001e+00 0.000000000000000e+00
2.018181818181819e+00 5.000000000000000e+00 0.000000000000000e+00
2.074747474747475e+00 5.000000000000000e+00 0.000000000000000e+00
2.131313131313131e+00 5.000000000000000e+00 0.000000000000000e+00
2.187878787878788e+00 5.000000000000000e+00 0.000000000000000e+00
2.244444444444444e+00 5.000000000000000e+00 0.000000000000000e+00
2.301010101010101e+00 5.000000000000000e+00 0.000000000000000e+00
2.357575757575758e+00 5.000000000000000e+00 0.000000000000000e+00
2.414141414141414e+00 5.000000000000000e+00 0.000000000000000e+00
2.470707070707071e+00 5.000000000000000e+00 0.000000000000000e+00
2.527272727272728e+00 5.000000000000000e+00 0.000000000000000e+00
2.583838383838384e+00 5.000000000000000e+00 0.000000000000000e+00
2.640404040404040e+00 5.000000000000000e+00 0.000000000000000e+00
2.696969696969697e+00 5.000000000000000e+00 0.000000000000000e+00
2.753535353535354e+00 5.000000000000000e+00 0.000000000000000e+00
2.810101010101010e+00 5.000000000000000e+00 0.000000000000000e+00
2.866666666666664e+00 5.000000000000000e+00 0.000000000000000e+00
2.923232323232321e+00 5.000000000000000e+00 0.000000000000000e+00
2.979797979797980e+00 5.000000000000000e+00 0.000000000000000e+00
3.036363636363637e+00 5.000000000000000e+00 0.000000000000000e+00
3.092929292929291e+00 5.000000000000000e+00 0.000000000000000e+00
3.149494949494950e+00 5.000000000000000e+00 0.000000000000000e+00
3.206060606060606e+00 5.000000000000000e+00 0.000000000000000e+00
3.262626262626260e+00 5.000000000000000e+00 0.000000000000000e+00
3.319191919191917e+00 5.000000000000000e+00 0.000000000000000e+00
3.375757575757573e+00 5.000000000000000e+00 0.000000000000000e+00
3.432323232323230e+00 5.000000000000000e+00 0.000000000000000e+00
3.488888888888889e+00 5.000000000000000e+00 0.000000000000000e+00
3.545454545454546e+00 5.000000000000000e+00 0.000000000000000e+00
3.602020202020200e+00 5.000000000000000e+00 0.000000000000000e+00
3.658585858585857e+00 5.000000000000000e+00 0.000000000000000e+00
3.715151515151513e+00 5.000000000000000e+00 0.000000000000000e+00
3.771717171717170e+00 5.000000000000000e+00 0.000000000000000e+00
3.828282828282829e+00 5.000000000000000e+00 0.000000000000000e+00
3.884848484848483e+00 5.000000000000000e+00 0.000000000000000e+00
3.941414141414139e+00 5.000000000000000e+00 0.000000000000000e+00
3.997979797979796e+00 5.000000000000000e+00 0.000000000000000e+00
